drugbank_id,mesh_id,relation,trial_phase,approval_status
DB00701,D015658,treats,,Approved
DB00828,D014552,treats,,Approved
DB01320,D013226,treats,,Approved
DB01320,D004827,treats,,Approved
DB00998,D008881,treats,,Approved
DB00695,D004487,treats,,Approved
DB02703,D005667,treats,,Approved
DB02703,D010612,treats,,Approved
DB02703,D012393,treats,,Approved
DB02703,D007637,treats,,Approved
DB02703,D010538,treats,,Approved
DB02703,D014406,treats,,Approved
DB02703,D002006,treats,,Approved
DB02703,D012852,treats,,Approved
DB02703,D006069,treats,,Approved
DB02703,D000196,treats,,Approved
DB02703,D006100,treats,,Approved
DB02703,D012282,treats,,Approved
DB02703,D015001,treats,,Approved
DB02703,D001907,treats,,Approved
DB02703,D057112,treats,,Approved
DB02703,D011778,treats,,Approved
DB02703,D017192,treats,,Approved
DB02703,D011008,treats,,Approved
DB02703,D016920,treats,,Approved
DB02703,D009177,treats,,Approved
DB02703,D003607,treats,,Approved
DB02703,D012226,treats,,Approved
DB02703,D014552,treats,,Approved
DB02703,D008088,treats,,Approved
DB02703,D002761,treats,,Approved
DB02703,D012061,treats,,Approved
DB02703,D000152,treats,,Approved
DB02703,D014141,treats,,Approved
DB02703,D013203,treats,,Approved
DB02703,D012373,treats,,Approved
DB02703,D005499,treats,,Approved
DB02703,D004927,treats,,Approved
DB02703,D002771,treats,,Approved
DB02703,D014438,treats,,Approved
DB02703,D004756,treats,,Approved
DB02703,D001991,treats,,Approved
DB02703,D013587,treats,,Approved
DB02703,D009956,treats,,Approved
DB02703,D008219,treats,,Approved
DB02703,D002690,treats,,Approved
DB02703,D014605,treats,,Approved
DB02703,D018410,treats,,Approved
DB02703,D013290,treats,,Approved
DB02703,D001474,treats,,Approved
DB02703,D011014,treats,,Approved
DB02703,D012612,treats,,Approved
DB02703,D016868,treats,,Approved
DB15985,D004827,treats,,Approved
DB00996,D012148,treats,,Approved
DB01004,D007635,treats,,Approved
DB01004,D017726,treats,,Approved
DB00918,D008881,treats,,Approved
DB01044,D061387,treats,,Approved
DB01044,D018410,treats,,Approved
DB01044,D009177,treats,,Approved
DB01241,D015228,treats,,Approved
DB01155,D009177,treats,,Approved
DB01155,D018410,treats,,Approved
DB01155,D061387,treats,,Approved
DB01436,D006961,treats,,Approved
DB01436,D007011,treats,,Approved
DB00130,D012778,treats,,Approved
DB09462,D003248,treats,,Approved
DB09561,D017674,treats,,Approved
DB00145,D012220,treats,,Approved
DB00145,D003139,treats,,Approved
DB00014,D004715,treats,,Approved
DB00365,D009177,treats,,Approved
DB00365,D006069,treats,,Approved
DB00400,D014006,treats,,Approved
DB00400,D014009,treats,,Approved
DB00400,D014008,treats,,Approved
DB11359,D003139,treats,,Approved
DB11359,D012220,treats,,Approved
DB00874,D020773,treats,,Approved
DB00874,D005334,treats,,Approved
DB00874,D012220,treats,,Approved
DB00874,D003139,treats,,Approved
DB00536,D015624,treats,,Approved
DB00801,D001007,treats,,Approved
DB00596,D016460,treats,,Approved
DB00596,D016410,treats,,Approved
DB00596,D003876,treats,,Approved
DB00596,D005076,treats,,Approved
DB00596,D011538,treats,,Approved
DB01218,D016780,treats,,Approved
DB01218,D016778,treats,,Approved
DB00502,D012559,treats,,Approved
DB00502,D011618,treats,,Approved
DB00793,D014008,treats,,Approved
DB01109,D056824,treats,,Approved
DB01109,D004211,treats,,Approved
DB00404,D001007,treats,,Approved
DB00404,D016584,treats,,Approved
DB11181,D010437,treats,,Approved
DB11181,D001660,treats,,Approved
DB11181,D014605,treats,,Approved
DB11181,D003248,treats,,Approved
DB11181,D043183,treats,,Approved
DB00770,D018785,treats,,Approved
DB00770,D001017,treats,,Approved
DB00770,D013771,treats,,Approved
DB00770,D007172,treats,,Approved
DB00725,D043183,treats,,Approved
DB00725,D010437,treats,,Approved
DB00999,D004487,treats,,Approved
DB00956,D012220,treats,,Approved
DB00956,D010146,treats,,Approved
DB00956,D003139,treats,,Approved
DB00741,D014605,treats,,Approved
DB00741,D012214,treats,,Approved
DB00741,D007819,treats,,Approved
DB00741,D009404,treats,,Approved
DB00741,D003424,treats,,Approved
DB00741,D011349,treats,,Approved
DB00741,D008180,treats,,Approved
DB00741,D015212,treats,,Approved
DB00741,D007634,treats,,Approved
DB00741,D005076,treats,,Approved
DB00741,D013585,treats,,Approved
DB00741,D000799,treats,,Approved
DB00741,D003320,treats,,Approved
DB00741,D029503,treats,,Approved
DB00741,D009103,treats,,Approved
DB00741,D011565,treats,,Approved
DB00741,D015863,treats,,Approved
DB00741,D010392,treats,,Approved
DB00741,D003874,treats,,Approved
DB00741,D013717,treats,,Approved
DB00741,D000152,treats,,Approved
DB00741,D014235,treats,,Approved
DB00741,D014008,treats,,Approved
DB00741,D012393,treats,,Approved
DB00741,D016460,treats,,Approved
DB00741,D012713,treats,,Approved
DB00741,D006689,treats,,Approved
DB00741,D013966,treats,,Approved
DB00741,D011538,treats,,Approved
DB00741,D003876,treats,,Approved
DB00741,D002062,treats,,Approved
DB00741,D001249,treats,,Approved
DB00741,D004892,treats,,Approved
DB00741,D015210,treats,,Approved
DB00741,D006484,treats,,Approved
DB00741,D015535,treats,,Approved
DB00741,D016410,treats,,Approved
DB00741,D007500,treats,,Approved
DB00741,D000224,treats,,Approved
DB00741,D009182,treats,,Approved
DB00741,D001327,treats,,Approved
DB00741,D010032,treats,,Approved
DB00741,D012507,treats,,Approved
DB00741,D001607,treats,,Approved
DB00741,D009140,treats,,Approved
DB00774,D004487,treats,,Approved
DB00327,D003139,treats,,Approved
DB00327,D010146,treats,,Approved
DB09352,D015878,treats,,Approved
DB01611,D016780,treats,,Approved
DB01611,D008180,treats,,Approved
DB01611,D016778,treats,,Approved
DB01005,D000755,treats,,Approved
DB01005,D008545,treats,,Approved
DB00557,D014581,treats,,Approved
DB00557,D011537,treats,,Approved
DB00557,D003876,treats,,Approved
DB00424,D010437,treats,,Approved
DB00424,D012798,treats,,Approved
DB00424,D053159,treats,,Approved
DB00710,D006934,treats,,Approved
DB00710,D015663,treats,,Approved
DB13316,D006333,treats,,Approved
DB13917,D006333,treats,,Approved
DB05266,D001249,treats,,Approved
DB01050,D010146,treats,,Approved
DB01050,D005334,treats,,Approved
DB01050,D020773,treats,,Approved
DB01050,D004412,treats,,Approved
DB08887,D015228,treats,,Approved
DB08887,D006950,treats,,Approved
DB09081,D029242,treats,,Approved
DB00249,D016849,treats,,Approved
DB00619,D034721,treats,,Approved
DB00619,D015466,treats,,Approved
DB00619,D046152,treats,,Approved
DB01598,D004716,treats,,Approved
DB01598,D018784,treats,,Approved
DB01598,D018410,treats,,Approved
DB01598,D010538,treats,,Approved
DB01598,D000151,treats,,Approved
DB00458,D003866,treats,,Approved
DB00724,D003218,treats,,Approved
DB09284,D000787,treats,,Approved
DB06255,D010024,treats,,Approved
DB00808,D004487,treats,,Approved
DB00224,D015658,treats,,Approved
DB00915,D010300,treats,,Approved
DB00915,D020734,treats,,Approved
DB00915,D010301,treats,,Approved
DB00328,D013717,treats,,Approved
DB00328,D002062,treats,,Approved
DB00328,D013585,treats,,Approved
DB00328,D006073,treats,,Approved
DB13178,D010383,treats,,Approved
DB13178,D052456,treats,,Approved
DB13178,D006950,treats,,Approved
DB13178,D015228,treats,,Approved
DB13178,D006937,treats,,Approved
DB08949,D010383,treats,,Approved
DB00627,D010383,treats,,Approved
DB09115,D000562,treats,,Approved
DB01122,D009157,treats,,Approved
DB00332,D011656,treats,,Approved
DB00332,D001991,treats,,Approved
DB13618,D015663,treats,,Approved
DB09247,D003866,treats,,Approved
DB04818,D003866,treats,,Approved
DB01247,D003865,treats,,Approved
DB00951,D014397,treats,,Approved
DB01064,D003139,treats,,Approved
DB01064,D054537,treats,,Approved
DB01064,D058687,treats,,Approved
DB00288,D016460,treats,,Approved
DB00288,D011538,treats,,Approved
DB00288,D016410,treats,,Approved
DB00288,D003876,treats,,Approved
DB00288,D005076,treats,,Approved
DB01625,D010437,treats,,Approved
DB09401,D009798,treats,,Approved
DB00883,D000787,treats,,Approved
DB01020,D000787,treats,,Approved
DB08941,D011928,treats,,Approved
DB08941,D014652,treats,,Approved
DB08941,D002561,treats,,Approved
