drugbank_id
DB00002
DB00003
DB00004
DB00005
DB00007
DB00008
DB00012
DB00014
DB00017
DB00022
DB00023
DB00025
DB00026
DB00030
DB00035
DB00036
DB00038
DB00040
DB00043
DB00046
DB00049
DB00051
DB00052
DB00053
DB00060
DB00063
DB00065
DB00067
DB00068
DB00072
DB00073
DB00075
DB00078
DB00080
DB00082
DB00085
DB00087
DB00090
DB00091
DB00092
DB00100
DB00102
DB00103
DB00104
DB00105
DB00107
DB00108
DB00109
DB00110
DB00111
DB00112
DB00115
DB00121
DB00122
DB00126
DB00128
DB00130
DB00133
DB00136
DB00137
DB00140
DB00145
DB00146
DB00151
DB00152
DB00153
DB00158
DB00162
DB00163
DB00165
DB00166
DB00169
DB00175
DB00176
DB00177
DB00178
DB00180
DB00181
DB00182
DB00184
DB00186
DB00187
DB00188
DB00190
DB00191
DB00193
DB00194
DB00195
DB00196
DB00198
DB00199
DB00200
DB00201
DB00203
DB00204
DB00205
DB00206
DB00207
DB00210
DB00211
DB00213
DB00214
DB00215
DB00216
DB00218
DB00220
DB00223
DB00224
DB00227
DB00230
DB00231
DB00232
DB00233
DB00234
DB00237
DB00238
DB00239
DB00240
DB00242
DB00243
DB00244
DB00245
DB00246
DB00248
DB00249
DB00250
DB00251
DB00252
DB00253
DB00254
DB00257
DB00258
DB00259
DB00260
DB00261
DB00262
DB00263
DB00264
DB00265
DB00266
DB00268
DB00270
DB00273
DB00274
DB00277
DB00279
DB00281
DB00282
DB00283
DB00285
DB00286
DB00287
DB00288
DB00289
DB00290
DB00291
DB00295
DB00296
DB00297
DB00299
DB00300
DB00302
DB00303
DB00305
DB00307
DB00309
DB00310
DB00312
DB00313
DB00314
DB00315
DB00316
DB00318
DB00319
DB00320
DB00321
DB00323
DB00324
DB00325
DB00326
DB00327
DB00328
DB00330
DB00331
DB00332
DB00333
DB00334
DB00335
DB00336
DB00337
DB00338
DB00339
DB00340
DB00341
DB00342
DB00343
DB00344
DB00347
DB00349
DB00350
DB00351
DB00353
DB00354
DB00355
DB00356
DB00358
DB00359
DB00362
DB00363
DB00364
DB00365
DB00366
DB00367
DB00368
DB00370
DB00371
DB00372
DB00373
DB00375
DB00376
DB00377
DB00381
DB00383
DB00384
DB00387
DB00388
DB00389
DB00390
DB00391
